Empreendimento,Ano,Quartos,Público Alvo,Status,Item de Lazer,Categoria
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,PLAYGROUND,Infantil
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,BRINQUEDOTECA,Infantil
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,ACADEMIA,Bem-estar
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,SALÃO DE FESTAS,Social/Eventos
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,ESPAÇO GOURMET,Bem-estar
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,CHURRASQUEIRA,Social/Eventos
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,PISCINA,Aquático
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,BICICLETÁRIO,Mobilidade
GRAN RESERVA,2020,3Q E 4Q,FAMÍLIA,PRONTO PARA MORAR,SAUNA,Bem-estar
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,QUADRA GRANDE,Esportes
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,PLAYGROUND,Infantil
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,BRINQUEDOTECA,Infantil
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,SALA DE JOGOS,Entretenimento
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,FITNESS,Bem-estar
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,MASSAGEM,Bem-estar
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,SALÃO DE FESTAS,Social/Eventos
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,LOUNGE (ESPAÇO GOURMET),Bem-estar
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,ESPAÇO GOURMET EXTERNO,Bem-estar
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,PISCINA ,Aquático
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,CONFERENCE ROOM,Trabalho
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,COWORKING,Trabalho
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,DELIVERY/GUARDA-COMPRAS,Serviços
RZ 25,2023,2Q E 3Q,FAMÍLIA,EM CONSTRUÇÃO - MAI/27,BICICLETÁRIO C/OFICINA,Mobilidade
ARGO CAMBURI,2023,2Q,SOLTEIRO OU RECÉM CASADOS,PRONTO PARA MORAR,QUADRA ESPORTIVA E STREETBALL,Esportes
ARGO CAMBURI,2023,2Q,SOLTEIRO OU RECÉM CASADOS,PRONTO PARA MORAR,PLAYGROUND,Infantil
ARGO CAMBURI,2023,2Q,SOLTEIRO OU RECÉM CASADOS,PRONTO PARA MORAR,BRINQUEDOTECA,Infantil
ARGO CAMBURI,2023,2Q,SOLTEIRO OU RECÉM CASADOS,PRONTO PARA MORAR,FITNESS,Bem-estar
ARGO CAMBURI,2023,2Q,SOLTEIRO OU RECÉM CASADOS,PRONTO PARA MORAR,SPA,Bem-estar
ARGO CAMBURI,2023,2Q,SOLTEIRO OU RECÉM CASADOS,PRONTO PARA MORAR,SALÃO DE FESTAS ADULTO E INFANTIL,Infantil
